CASEID,agearr10,agecxryg,agefhsdg,agegr10,agehsdyg,aprgrdif,ageprg10,sex,marstat,sexpr,prtypec,chh0014c,chinhsdc,cxr0014c,cxrflag,cxrtime6,parnum,livarr08,livarr11,fhsd,mhsd,agemhsdg,grfhsd,grmhsd,sonhsd,dauhsd,solhsdc,grsohsdc,grchhsdc,grdahsdc,brhsdc,brohsdc,sihsdc,ilhsdc,orelhsdc,unrlhsdc,hsdsizec,hsdeligc,multigen,drr_110,ehg3_01
 5747,96, 2,96,2, 1,11, 3,2,1,1,1,2,2,2,1,3,0,5, 3,2,2,96,2,2,1,1,0,0,0,0,0,0,0,0,0,0,4,2,2, 5, 2
 5748,96,96,96,4, 5,96,96,1,5,6,0,0,0,0,2,1,0,5, 1,2,2,96,2,2,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2, 4, 2
 5749,96, 5,96,4, 3,15, 5,2,1,1,1,0,1,0,1,1,0,5, 3,2,2,96,2,2,0,1,0,0,0,0,0,0,0,0,0,0,3,3,2, 5, 1
 5750,96,96,96,6, 7,96,96,1,3,6,0,0,0,0,2,1,0,5, 1,2,2,96,2,2,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2, 4, 6
 5751,96,96, 3,1, 3,96,96,1,6,6,0,0,0,0,2,1,2,2, 8,1,1, 3,2,2,0,0,0,0,0,0,0,0,0,0,0,0,3,3,2, 4, 2
 5752,96, 2,96,3, 1,13, 4,2,1,1,1,1,1,1,1,3,0,5, 3,2,2,96,2,2,0,1,0,0,0,0,0,0,0,0,0,0,3,2,2, 5, 4
 5753,96,96,96,7, 8,96,96,1,5,6,0,0,0,0,2,1,0,5, 1,2,2,96,2,2,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2, 5, 6
 5754,96,96,96,7, 9,96,96,2,3,6,0,0,0,0,2,1,0,5, 1,2,2,96,2,2,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2, 4, 4
 5755,96, 4,96,4, 2, 6, 4,1,1,2,1,0,1,0,1,4,0,5, 3,2,2,96,2,2,1,0,0,0,0,0,0,0,0,0,0,0,3,3,2, 4, 7
 5756,96, 5,96,4, 3,10, 5,2,1,1,1,0,1,0,1,1,0,5, 3,2,2,96,2,2,0,1,0,0,0,0,0,0,0,0,0,0,3,3,2, 2, 7
 5757,96, 1,96,2, 1, 7, 2,2,1,1,1,3,1,3,1,5,0,5, 3,2,2,96,2,2,1,4,0,0,0,0,0,0,0,0,0,0,6,2,2, 6,99
 5758,96, 4,96,5, 2, 8, 5,2,1,1,1,0,2,0,1,1,0,5, 3,2,2,96,2,2,1,1,0,0,0,0,0,0,0,0,0,0,4,4,2, 3, 7
 5759,96, 1,96,3, 1,14, 4,1,1,2,1,2,2,2,1,5,0,5, 3,2,2,96,2,2,0,2,0,0,0,0,0,0,0,0,0,0,4,2,2, 4, 7
 5760,96, 1,96,2, 1, 3, 2,1,1,2,1,2,2,2,1,5,0,5, 3,2,2,96,2,2,0,2,0,0,0,0,0,0,0,0,0,0,4,2,2, 3, 2
 5761, 1, 2,96,3, 1,12, 3,2,1,1,1,2,3,2,1,6,0,5, 3,2,2,96,2,2,0,3,0,0,0,0,0,0,0,0,0,0,5,3,2, 5, 4
 5762,96,96,96,6, 8,13, 7,2,1,1,1,0,0,0,2,1,0,5, 2,2,2,96,2,2,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2, 2, 6
 5763, 4, 3,96,4, 2, 8, 4,2,1,1,1,1,1,1,1,3,0,5, 3,2,2,96,2,2,1,0,0,0,0,0,0,0,0,0,0,0,3,2,2, 7, 7
 5764,96,96,96,5, 6,12, 5,2,1,1,1,0,0,0,2,1,0,5, 2,2,2,96,2,2,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2, 6, 2
 5765,96,96,96,5, 6, 1, 4,1,1,2,1,0,0,0,2,1,0,5, 2,2,2,96,2,2,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2, 1, 2
 5766,96,96,96,6, 8, 9, 6,2,1,1,1,0,0,0,2,1,0,5, 2,2,2,96,2,2,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2, 6, 6
 5767,96,96,96,5, 7,96,96,2,5,6,0,0,0,0,2,1,0,5, 1,2,2,96,2,2,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2, 7, 2
 5768,96,96,96,7, 9,96,96,2,4,6,0,0,0,0,2,1,0,5, 1,2,2,96,2,2,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2, 6, 1
 5769, 3,96,96,6, 8,96,96,2,6,6,0,0,0,0,2,1,0,5, 1,2,2,96,2,2,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2, 6, 2
 5770,96,96,96,5, 5, 2, 4,2,2,1,2,0,0,0,2,1,0,5, 2,2,2,96,2,2,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2, 5, 6
 5771,96,96,96,4, 5,15, 5,1,1,2,1,0,0,0,2,1,0,5, 2,2,2,96,2,2,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2, 5, 2
